127.0.0.1 - - [04/Feb/2022:15:49:24 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [04/Feb/2022:15:49:47 +0530] "GET /BuilderFlatBookingSystem/Login.jsp HTTP/1.1" 200 3199
0:0:0:0:0:0:0:1 - - [04/Feb/2022:15:49:49 +0530] "GET /BuilderFlatBookingSystem/style.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [04/Feb/2022:15:49:54 +0530] "GET /BuilderFlatBookingSystem/business-futuristic-skyscraper-banner-23850748.jpg HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [04/Feb/2022:15:49:54 +0530] "GET /BuilderFlatBookingSystem/testimonial_background_dubai_1920x800.jpg HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [04/Feb/2022:15:56:02 +0530] "POST /BuilderFlatBookingSystem/LoginBuilderServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2022:15:56:11 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 3617
0:0:0:0:0:0:0:1 - - [04/Feb/2022:15:56:13 +0530] "GET /BuilderFlatBookingSystem/images/PAdd.jpg HTTP/1.1" 200 4393
0:0:0:0:0:0:0:1 - - [04/Feb/2022:15:59:47 +0530] "GET /BuilderFlatBookingSystem/style.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [04/Feb/2022:15:59:48 +0530] "GET /BuilderFlatBookingSystem/business-futuristic-skyscraper-banner-23850748.jpg HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [04/Feb/2022:15:59:48 +0530] "GET /BuilderFlatBookingSystem/testimonial_background_dubai_1920x800.jpg HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:16:55 +0530] "POST /BuilderFlatBookingSystem/LoginBuilderServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:16:55 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 3617
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:17:36 +0530] "GET /BuilderFlatBookingSystem/AddProperty.jsp HTTP/1.1" 200 4407
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:17:51 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 3617
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:18:01 +0530] "GET /BuilderFlatBookingSystem/AddSalesPerson.jsp HTTP/1.1" 200 4205
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:18:16 +0530] "GET /BuilderFlatBookingSystem/DisplaySalesPersonServlet HTTP/1.1" 200 3151
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:18:34 +0530] "GET /BuilderFlatBookingSystem/AddSalesPerson.jsp HTTP/1.1" 200 4205
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:19:43 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 3617
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:19:49 +0530] "GET /BuilderFlatBookingSystem/DisplaySalesPersonServlet HTTP/1.1" 200 3151
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:19:56 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 3617
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:21:30 +0530] "GET /BuilderFlatBookingSystem/DisplaySalesPersonServlet HTTP/1.1" 200 3151
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:21:47 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 3617
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:22:30 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 3617
