127.0.0.1 - - [01/Feb/2022:15:47:56 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:48:05 +0530] "GET /BuilderFlatBookingSystem/Login.jsp HTTP/1.1" 200 3199
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:48:05 +0530] "GET /BuilderFlatBookingSystem/style.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:48:07 +0530] "GET /BuilderFlatBookingSystem/business-futuristic-skyscraper-banner-23850748.jpg HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:48:07 +0530] "GET /BuilderFlatBookingSystem/testimonial_background_dubai_1920x800.jpg HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [01/Feb/2022:16:06:15 +0530] "POST /BuilderFlatBookingSystem/LoginBuilderServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Feb/2022:16:06:20 +0530] "POST /BuilderFlatBookingSystem/LoginBuilderServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Feb/2022:16:06:20 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 3344
0:0:0:0:0:0:0:1 - - [01/Feb/2022:16:06:20 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 3344
0:0:0:0:0:0:0:1 - - [01/Feb/2022:16:06:21 +0530] "GET /BuilderFlatBookingSystem/images/PAdd.jpg HTTP/1.1" 200 4393
0:0:0:0:0:0:0:1 - - [01/Feb/2022:16:06:33 +0530] "GET /BuilderFlatBookingSystem/AddProperty.jsp HTTP/1.1" 200 4168
0:0:0:0:0:0:0:1 - - [01/Feb/2022:16:08:49 +0530] "POST /BuilderFlatBookingSystem/AddPropertyServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Feb/2022:16:08:49 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 3617
0:0:0:0:0:0:0:1 - - [01/Feb/2022:16:09:12 +0530] "GET /BuilderFlatBookingSystem/AddSalesPerson.jsp HTTP/1.1" 200 4205
0:0:0:0:0:0:0:1 - - [01/Feb/2022:16:11:01 +0530] "GET /BuilderFlatBookingSystem/DisplaySalesPersonServlet HTTP/1.1" 200 3151
0:0:0:0:0:0:0:1 - - [01/Feb/2022:16:11:25 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 3617
0:0:0:0:0:0:0:1 - - [01/Feb/2022:16:16:18 +0530] "GET /BuilderFlatBookingSystem/AddProperty.jsp HTTP/1.1" 200 4168
0:0:0:0:0:0:0:1 - - [01/Feb/2022:16:17:10 +0530] "GET /BuilderFlatBookingSystem/AddProperty.jsp HTTP/1.1" 200 4168
0:0:0:0:0:0:0:1 - - [01/Feb/2022:16:17:13 +0530] "GET /BuilderFlatBookingSystem/AddSalesPerson.jsp HTTP/1.1" 200 4205
0:0:0:0:0:0:0:1 - - [01/Feb/2022:16:17:19 +0530] "GET /BuilderFlatBookingSystem/AddProperty.jsp HTTP/1.1" 200 4168
0:0:0:0:0:0:0:1 - - [01/Feb/2022:16:17:20 +0530] "GET /BuilderFlatBookingSystem/AddSalesPerson.jsp HTTP/1.1" 200 4205
0:0:0:0:0:0:0:1 - - [01/Feb/2022:16:20:30 +0530] "GET /BuilderFlatBookingSystem/AddProperty.jsp HTTP/1.1" 200 4407
0:0:0:0:0:0:0:1 - - [01/Feb/2022:16:20:30 +0530] "GET /BuilderFlatBookingSystem/AddProperty.jsp HTTP/1.1" 200 4407
