127.0.0.1 - - [09/Feb/2022:19:35:51 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [09/Feb/2022:19:35:54 +0530] "GET /BuilderFlatBookingSystem/Login.jsp HTTP/1.1" 200 3199
0:0:0:0:0:0:0:1 - - [09/Feb/2022:19:35:54 +0530] "GET /BuilderFlatBookingSystem/style.css HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [09/Feb/2022:19:35:56 +0530] "GET /BuilderFlatBookingSystem/business-futuristic-skyscraper-banner-23850748.jpg HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [09/Feb/2022:19:35:56 +0530] "GET /BuilderFlatBookingSystem/testimonial_background_dubai_1920x800.jpg HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [09/Feb/2022:19:36:07 +0530] "POST /BuilderFlatBookingSystem/LoginBuilderServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2022:19:36:15 +0530] "POST /BuilderFlatBookingSystem/LoginBuilderServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2022:19:36:15 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 2867
0:0:0:0:0:0:0:1 - - [09/Feb/2022:19:36:16 +0530] "POST /BuilderFlatBookingSystem/LoginBuilderServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2022:19:36:19 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 2867
0:0:0:0:0:0:0:1 - - [09/Feb/2022:19:36:20 +0530] "POST /BuilderFlatBookingSystem/LoginBuilderServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2022:19:36:20 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 2867
0:0:0:0:0:0:0:1 - - [09/Feb/2022:19:36:24 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 2867
0:0:0:0:0:0:0:1 - - [09/Feb/2022:19:36:25 +0530] "GET /BuilderFlatBookingSystem/images/PAdd.jpg HTTP/1.1" 200 4393
0:0:0:0:0:0:0:1 - - [09/Feb/2022:19:37:00 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 4280
0:0:0:0:0:0:0:1 - - [09/Feb/2022:19:39:07 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 4259
0:0:0:0:0:0:0:1 - - [09/Feb/2022:19:39:09 +0530] "GET /BuilderFlatBookingSystem/images/PAdd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2022:19:39:26 +0530] "POST /BuilderFlatBookingSystem/PropertyDetailsServlet HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:10:44 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 4259
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:10:46 +0530] "GET /BuilderFlatBookingSystem/images/PAdd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:10:52 +0530] "POST /BuilderFlatBookingSystem/PropertyDetailsServlet HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:11:05 +0530] "GET /BuilderFlatBookingSystem/AddProperty.jsp HTTP/1.1" 200 4407
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:11:15 +0530] "GET /BuilderFlatBookingSystem/DisplaySalesPersonServlet HTTP/1.1" 200 3151
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:13:25 +0530] "GET /BuilderFlatBookingSystem/DisplaySalesPersonServlet HTTP/1.1" 200 3151
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:13:26 +0530] "GET /BuilderFlatBookingSystem/images/PAdd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:13:35 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 4259
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:13:40 +0530] "POST /BuilderFlatBookingSystem/PropertyDetailsServlet HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:16:58 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 4256
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:16:58 +0530] "GET /BuilderFlatBookingSystem/images/PAdd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:17:04 +0530] "POST /BuilderFlatBookingSystem/PropertyDetailsServlet HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:28:14 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 4631
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:28:15 +0530] "GET /BuilderFlatBookingSystem/images/PAdd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:28:20 +0530] "GET /BuilderFlatBookingSystem/PropertyDetailsServlet HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:29:25 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 4253
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:29:26 +0530] "GET /BuilderFlatBookingSystem/images/PAdd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:29:31 +0530] "POST /BuilderFlatBookingSystem/PropertyDetailsServlet HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:30:11 +0530] "POST /BuilderFlatBookingSystem/PropertyDetailsServlet HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:32:42 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 4253
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:32:43 +0530] "GET /BuilderFlatBookingSystem/images/PAdd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:32:47 +0530] "GET /BuilderFlatBookingSystem/AddProperty.jsp HTTP/1.1" 200 4407
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:32:51 +0530] "POST /BuilderFlatBookingSystem/AddPropertyServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:32:51 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 4253
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:34:24 +0530] "POST /BuilderFlatBookingSystem/PropertyDetailsServlet HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:35:14 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:35:15 +0530] "GET /BuilderFlatBookingSystem/images/PAdd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:35:33 +0530] "GET /BuilderFlatBookingSystem/PropertyDetailsServlet?p_no=1&submit=See+Details HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:35:41 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:35:42 +0530] "GET /BuilderFlatBookingSystem/images/PAdd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:36:53 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:36:54 +0530] "GET /BuilderFlatBookingSystem/images/PAdd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:36:59 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet?p_no=1&submit=See+Details HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:39:26 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet?p_no=1&submit=See+Details HTTP/1.1" 200 4250
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:39:27 +0530] "GET /BuilderFlatBookingSystem/images/PAdd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:39:32 +0530] "POST /BuilderFlatBookingSystem/PropertyDetailServlet HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:42:04 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet?p_no=1&submit=See+Details HTTP/1.1" 200 4250
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:42:04 +0530] "GET /BuilderFlatBookingSystem/images/PAdd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:42:10 +0530] "POST /BuilderFlatBookingSystem/PropertyDetailServlet HTTP/1.1" 200 3037
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:44:08 +0530] "GET /BuilderFlatBookingSystem/DisplayPropertyServlet?p_no=1&submit=See+Details HTTP/1.1" 200 4250
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:44:09 +0530] "GET /BuilderFlatBookingSystem/images/PAdd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2022:20:44:15 +0530] "POST /BuilderFlatBookingSystem/PropertyDetailServlet HTTP/1.1" 200 3037
